"","site_id","province","latitude_y","longtitude_x","region","land_class","depth_filled","depth","full_wetland_area_m2","total_em_area_m2","total_mass_Mg","aerial_gpp","aerial_r","aerial_nep","flux_co2","flux_ch4","flux_n2o","pl_flux_co2","log_flux_ch4","pl_flux_n2o","gwp_co2","gwp_ch4","gwp_n2o","gwp_sum","pl_gwp_co2","log_gwp_ch4","pl_gwp_n2o","pl_gwp_sum","total_density","wetlandBirdRichness","wetlandArea_250m","wetlandArea_500m","wetlandArea_1km","wetlandArea_5km"
"45","AB14","AB",53.076823,-113.195184,NA,"Grassland",93.5,93.5,3876.13111561746,NA,NA,26.080886266238,42.9268547199658,-16.8459684537278,184.5,65.68,0.04,2.91798920799157,1.81743314411138,3.68950386898891,8118,35729.92,524.48,44372.4,2.10892370559938,4.55303204380956,3.96018553606208,3.79312516329135,NA,9,21758.1424166559,65395.8202894847,405017.297991334,10788004.8620361
"46","AB15","AB",53.0929830000001,-113.200383,NA,"Grassland",35.0714285714286,35.0714285714286,11311.3457707816,933.261312100068,1.39287415749475,14.2424460714787,1.9685407064854,12.2739053649933,40.7826765466667,2.52713978222222,0.0303428051111111,1.46100091752067,0.402629264463972,3.41364380704778,1794.43776805333,1374.76404152889,397.854860616889,3567.05667019911,0.806798318595499,3.13822816416215,3.6841333340007,1.34241331355058,0.12313956143863,19,54975.1495270857,195761.251836998,641093.443431941,10577230.5260738
"47","AB16","AB",53.1764390000001,-113.128122,NA,"Grassland",95.1,95.1,1867.11620509205,NA,NA,11.7845367238181,23.0685682255376,-11.2840315017196,99.415,9.425,0.02,2.30668575117155,0.974281358877831,2.99822295029797,4374.26,5127.2,262.24,9763.7,1.52432190354823,3.70988025857601,3.2681259867806,2.2890000099986,NA,28,127860.639846387,405185.246387998,997116.606677745,17770834.2557179
"48","AB-DB-06","AB",50.651525,-113.142598,"DB","Both",50,50,13249.6098693332,675.274745417119,1.44980697939303,NA,NA,NA,216.142219848333,17.2850546766667,0.00200934399999999,3.07548521033874,1.23767075765552,0.884673334302879,9510.25767332667,9403.06974410667,26.3465185279999,18939.6739359613,2.26324842538044,3.9732696573537,1.08897081035472,2.94403504385641,0.109422616491424,NA,18442.6620754676,38269.2831541133,89268.9927523511,2263852.13812961
"49","AB-DB-07","AB",50.6139870000001,-113.13542,"DB","Cropland",NA,NA,19865.8176935111,NA,NA,NA,NA,NA,589.79108845,79.85065151,-0.001788186,4.07747064726346,1.90227846394405,-0.804469844269612,25950.8078918,43438.75442144,-23.446694832,69366.115618408,3.25768434873559,4.63787736364223,-0.998141068680862,4.23960626451843,NA,13,17499.1140518277,25273.0604617974,49815.3855414083,3519572.00340395
"50","AB-DB-09","AB",50.5544980000001,-113.076941,"DB","Cropland",84,84,20747.3301145264,NA,NA,21.0441260549988,18.4501578386178,2.59396821638101,75.9053517546,8.725378952,-0.0002890584,2.04382313575833,0.940784297887789,-0.144030700842296,3339.8354772024,4746.606149888,-3.7901337408,8082.6514933496,1.28546712684699,3.67638319758597,-0.188390349957763,2.10468708682619,NA,NA,18323.5532318136,45538.0687470029,198414.12787839,5260331.62519637
"51","AB-DB-15","AB",50.593535,-113.029702,"DB","Grassland",20.9,NA,7827.64973845147,1855.53546480525,2.01676486912004,9.90736342092101,13.1799678311115,-3.2726044101905,54.927098766,1.04859435066667,-0.00109753644444444,1.73503118223835,0.0206075136095353,-0.524400864064855,2416.792345704,570.435326762667,-14.3908978595555,2972.83677460711,1.02133715539769,2.75620641330772,-0.668604851924492,1.18720580482482,0.257646284198585,NA,38026.4175467008,137528.114503942,393371.58498695,5864802.85602877
"52","AB-B-05","AB",50.6675440000001,-112.238372,"B","Cropland",85,NA,17170.6391401673,7263.51972187498,6.3852352377314,3.57095790950607,34.5398784629789,-30.9689205534728,1090.035411825,89.229728655,0.13952834125,4.69146452152196,1.95050957231116,4.93831910567966,47961.5581203,48540.97238832,1829.49561047,98332.02611909,3.87083425815642,4.68610847200934,5.20924036783618,4.58845317914649,0.371869397848705,NA,20682.2451561324,41040.9329161464,121016.329484773,9843795.88787036
"53","AB-B-06","AB",50.6725900000001,-112.237256,"B","Cropland",50,NA,18603.522473892,10250.1945287764,8.3105002304909,3.16236717102891,2.26254065021379,0.899826520815122,339.348369028571,18.35731981,0.126744800285714,3.52530937235093,1.2638092739951,4.84223786248008,14931.3282372571,9986.38197664,1661.87782134629,26579.5880352434,2.70791711072648,3.99940817369328,5.11315457249726,3.28155603741712,0.44671648835073,NA,14587.0637449735,26871.6217985179,176555.423762446,10330618.3424117
"54","AB-B-07","AB",50.677716,-112.256461,"B","Cropland",NA,NA,16025.172993985,5400.15969349462,6.37699327313312,NA,NA,NA,143.25932421,4.84630003683333,-0.00116309366666666,2.66690864585479,0.6854102980201,-0.55293717141927,6303.41026524,2636.38722003733,-15.2504841573332,8924.54700112,1.86535853037379,3.42100919771828,-0.703136444852727,2.20113081935625,0.397936002034218,NA,12870.8179045328,44520.7194366129,203177.234502521,11263125.2027608
